date,platform,sku_id,product_name,sku_type,core_products,units_sold,gross_sales,avg_gross_per_unit,net_gross_sales,avg_net_gross_per_unit
2024-04-23,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,259,5297.35,20.45,4314,16.66
2024-04-23,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,9,0,0,0,0
2024-04-24,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,425,8975.51,21.12,6898.82,16.23
2024-04-24,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,4,0,0,0,0
2024-04-25,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,381,7916.04,20.78,6218.63,16.32
2024-04-25,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,12,0,0,0,0
2024-04-26,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,173,3438.28,19.87,3228.3,18.66
2024-04-27,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,506,10474.76,20.7,8277.2,16.36
2024-04-28,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,822,16731.63,20.35,13104,15.94
2024-04-29,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1255,25727.13,20.5,19725,15.72
2024-04-29,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,8,0,0,0,0
2024-04-30,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1854,38180.9,20.59,29635.91,15.98
2024-04-30,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,5,0,0,0,0
2024-05-01,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1801,36921.53,20.5,28827.89,16.01
2024-05-02,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1640,33743.12,20.58,26207.92,15.98
2024-05-03,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1532,31464.26,20.54,24527.96,16.01
2024-05-04,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,1054,21269.36,20.18,16783.96,15.92
2024-05-05,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,792,16451.77,20.77,14552.51,18.37
2024-05-06,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,656,13233.38,20.17,11322,17.26
2024-05-07,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,573,11894.05,20.76,10296,17.97
2024-05-08,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,442,9255.37,20.94,8594.08,19.44
2024-05-09,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,575,11854.07,20.62,9476.77,16.48
2024-05-10,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,696,14452.77,20.77,11412.09,16.4
2024-05-11,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,635,13113.44,20.65,10593.65,16.68
2024-05-12,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,299,6376.81,21.33,5977.01,19.99
2024-05-13,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,257,5657.17,22.01,5137.43,19.99
2024-05-14,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,363,7696.15,21.2,7236.38,19.93
2024-05-15,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,420,8955.52,21.32,8084.58,19.25
2024-05-15,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,8,0,0,0,0
2024-05-16,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,437,9135.43,20.9,8440.37,19.31
